22:46:36, baseline, 2.0, 25, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d25_s1.h5
22:47:54, eph, 2.0, 25, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d25_s1.h5
22:49:30, baseline, 2.0, 25, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d25_s2.h5
22:50:57, eph, 2.0, 25, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d25_s2.h5
22:52:54, baseline, 2.0, 25, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d25_s3.h5
22:54:45, eph, 2.0, 25, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d25_s3.h5
22:56:55, baseline, 2.0, 30, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d30_s1.h5
22:58:33, eph, 2.0, 30, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d30_s1.h5
23:00:52, baseline, 2.0, 30, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d30_s2.h5
23:02:45, eph, 2.0, 30, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d30_s2.h5
23:05:14, baseline, 2.0, 30, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d30_s3.h5
23:07:31, eph, 2.0, 30, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d30_s3.h5
23:09:30, baseline, 2.0, 35, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d35_s1.h5
23:11:17, eph, 2.0, 35, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d35_s1.h5
23:13:22, baseline, 2.0, 35, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d35_s2.h5
23:15:05, eph, 2.0, 35, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d35_s2.h5
23:17:41, baseline, 2.0, 35, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w2_d35_s3.h5
23:19:43, eph, 2.0, 35, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w2_d35_s3.h5
23:22:21, baseline, 3.0, 25, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d25_s1.h5
23:23:57, eph, 3.0, 25, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d25_s1.h5
23:26:10, baseline, 3.0, 25, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d25_s2.h5
23:28:03, eph, 3.0, 25, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d25_s2.h5
23:30:04, baseline, 3.0, 25, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d25_s3.h5
23:31:47, eph, 3.0, 25, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d25_s3.h5
23:33:54, baseline, 3.0, 30, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d30_s1.h5
23:35:50, eph, 3.0, 30, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d30_s1.h5
23:38:11, baseline, 3.0, 30, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d30_s2.h5
23:40:06, eph, 3.0, 30, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d30_s2.h5
23:41:41, baseline, 3.0, 30, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d30_s3.h5
23:42:56, eph, 3.0, 30, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d30_s3.h5
23:44:17, baseline, 3.0, 35, 1, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d35_s1.h5
23:45:23, eph, 3.0, 35, 1, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d35_s1.h5
23:46:36, baseline, 3.0, 35, 2, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d35_s2.h5
23:47:44, eph, 3.0, 35, 2, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d35_s2.h5
23:49:45, baseline, 3.0, 35, 3, SUCCESS, data/logs/comparison_challenging/sim_baseline_w3_d35_s3.h5
23:51:15, eph, 3.0, 35, 3, SUCCESS, data/logs/comparison_challenging/sim_eph_w3_d35_s3.h5
