21:52:24, baseline, 5, 1, SUCCESS, data/logs/comparison_corridor/sim_baseline_d5_s1.h5
21:53:34, eph, 5, 1, SUCCESS, data/logs/comparison_corridor/sim_eph_d5_s1.h5
21:54:30, baseline, 5, 2, SUCCESS, data/logs/comparison_corridor/sim_baseline_d5_s2.h5
21:55:18, eph, 5, 2, SUCCESS, data/logs/comparison_corridor/sim_eph_d5_s2.h5
21:56:09, baseline, 5, 3, SUCCESS, data/logs/comparison_corridor/sim_baseline_d5_s3.h5
21:57:01, eph, 5, 3, SUCCESS, data/logs/comparison_corridor/sim_eph_d5_s3.h5
21:57:52, baseline, 5, 4, SUCCESS, data/logs/comparison_corridor/sim_baseline_d5_s4.h5
21:58:42, eph, 5, 4, SUCCESS, data/logs/comparison_corridor/sim_eph_d5_s4.h5
21:59:32, baseline, 5, 5, SUCCESS, data/logs/comparison_corridor/sim_baseline_d5_s5.h5
22:00:21, eph, 5, 5, SUCCESS, data/logs/comparison_corridor/sim_eph_d5_s5.h5
22:01:11, baseline, 10, 1, SUCCESS, data/logs/comparison_corridor/sim_baseline_d10_s1.h5
22:02:02, eph, 10, 1, SUCCESS, data/logs/comparison_corridor/sim_eph_d10_s1.h5
22:02:56, baseline, 10, 2, SUCCESS, data/logs/comparison_corridor/sim_baseline_d10_s2.h5
22:03:50, eph, 10, 2, SUCCESS, data/logs/comparison_corridor/sim_eph_d10_s2.h5
22:04:44, baseline, 10, 3, SUCCESS, data/logs/comparison_corridor/sim_baseline_d10_s3.h5
22:05:37, eph, 10, 3, SUCCESS, data/logs/comparison_corridor/sim_eph_d10_s3.h5
22:06:32, baseline, 10, 4, SUCCESS, data/logs/comparison_corridor/sim_baseline_d10_s4.h5
22:07:31, eph, 10, 4, SUCCESS, data/logs/comparison_corridor/sim_eph_d10_s4.h5
22:08:27, baseline, 10, 5, SUCCESS, data/logs/comparison_corridor/sim_baseline_d10_s5.h5
22:09:28, eph, 10, 5, SUCCESS, data/logs/comparison_corridor/sim_eph_d10_s5.h5
22:10:30, baseline, 15, 1, SUCCESS, data/logs/comparison_corridor/sim_baseline_d15_s1.h5
22:11:24, eph, 15, 1, SUCCESS, data/logs/comparison_corridor/sim_eph_d15_s1.h5
22:12:27, baseline, 15, 2, SUCCESS, data/logs/comparison_corridor/sim_baseline_d15_s2.h5
22:13:23, eph, 15, 2, SUCCESS, data/logs/comparison_corridor/sim_eph_d15_s2.h5
22:14:21, baseline, 15, 3, SUCCESS, data/logs/comparison_corridor/sim_baseline_d15_s3.h5
22:15:17, eph, 15, 3, SUCCESS, data/logs/comparison_corridor/sim_eph_d15_s3.h5
22:16:15, baseline, 15, 4, SUCCESS, data/logs/comparison_corridor/sim_baseline_d15_s4.h5
22:17:12, eph, 15, 4, SUCCESS, data/logs/comparison_corridor/sim_eph_d15_s4.h5
22:18:16, baseline, 15, 5, SUCCESS, data/logs/comparison_corridor/sim_baseline_d15_s5.h5
22:19:13, eph, 15, 5, SUCCESS, data/logs/comparison_corridor/sim_eph_d15_s5.h5
22:20:16, baseline, 20, 1, SUCCESS, data/logs/comparison_corridor/sim_baseline_d20_s1.h5
22:21:14, eph, 20, 1, SUCCESS, data/logs/comparison_corridor/sim_eph_d20_s1.h5
22:22:39, baseline, 20, 2, SUCCESS, data/logs/comparison_corridor/sim_baseline_d20_s2.h5
22:23:56, eph, 20, 2, SUCCESS, data/logs/comparison_corridor/sim_eph_d20_s2.h5
22:25:03, baseline, 20, 3, SUCCESS, data/logs/comparison_corridor/sim_baseline_d20_s3.h5
22:26:08, eph, 20, 3, SUCCESS, data/logs/comparison_corridor/sim_eph_d20_s3.h5
22:27:40, baseline, 20, 4, SUCCESS, data/logs/comparison_corridor/sim_baseline_d20_s4.h5
22:29:13, eph, 20, 4, SUCCESS, data/logs/comparison_corridor/sim_eph_d20_s4.h5
22:31:01, baseline, 20, 5, SUCCESS, data/logs/comparison_corridor/sim_baseline_d20_s5.h5
22:32:28, eph, 20, 5, SUCCESS, data/logs/comparison_corridor/sim_eph_d20_s5.h5
