Condition,Width,Density,Seed,NAgents,FreezingRate,NFrozen
baseline,2,25,1,50,0.02,1
baseline,2,25,2,50,0.0,0
baseline,2,25,3,50,0.0,0
baseline,2,30,1,60,0.0,0
baseline,2,30,2,60,0.0,0
baseline,2,30,3,60,0.0,0
baseline,2,35,1,70,0.0,0
baseline,2,35,2,70,0.0,0
baseline,2,35,3,70,0.0,0
eph,2,25,1,50,0.0,0
eph,2,25,2,50,0.02,1
eph,2,25,3,50,0.0,0
eph,2,30,1,60,0.0,0
eph,2,30,2,60,0.0,0
eph,2,30,3,60,0.0,0
eph,2,35,1,70,0.0,0
eph,2,35,2,70,0.0,0
eph,2,35,3,70,0.0,0
baseline,3,25,1,50,0.0,0
baseline,3,25,2,50,0.0,0
baseline,3,25,3,50,0.0,0
baseline,3,30,1,60,0.0,0
baseline,3,30,2,60,0.0,0
baseline,3,30,3,60,0.0,0
baseline,3,35,1,70,0.0,0
baseline,3,35,2,70,0.0,0
baseline,3,35,3,70,0.0,0
eph,3,25,1,50,0.0,0
eph,3,25,2,50,0.0,0
eph,3,25,3,50,0.0,0
eph,3,30,1,60,0.0,0
eph,3,30,2,60,0.0,0
eph,3,30,3,60,0.0,0
eph,3,35,1,70,0.0,0
eph,3,35,2,70,0.0,0
eph,3,35,3,70,0.0,0
